time,wind_speed_10m,wind_kw
2025-10-09 13:00:00,5.7,0.27000000000000013
2025-10-09 14:00:00,6.6,0.6399999999999999
2025-10-09 15:00:00,6.6,0.6399999999999999
2025-10-09 16:00:00,6.7,0.6948285322359399
2025-10-09 17:00:00,6.8,0.7527023319615912
2025-10-09 18:00:00,6.9,0.8137037037037038
2025-10-09 19:00:00,5.8,0.30112482853223593
2025-10-09 20:00:00,6.9,0.8137037037037038
2025-10-09 21:00:00,6.8,0.7527023319615912
2025-10-09 22:00:00,6.7,0.6948285322359399
2025-10-09 23:00:00,7.0,0.8779149519890259
2025-10-10 00:00:00,7.56,1.3006696296296292
2025-10-10 01:00:00,7.69,1.4151126063100143
2025-10-10 02:00:00,8.02,1.7353361865569266
2025-10-10 03:00:00,7.65,1.3792129629629635
2025-10-10 04:00:00,7.18,1.0018468038408779
2025-10-10 05:00:00,6.44,0.558403072702332
2025-10-10 06:00:00,7.52,1.266740850480109
2025-10-10 07:00:00,8.16,1.8846103703703707
2025-10-10 08:00:00,8.42,2.184088998628258
2025-10-10 09:00:00,8.02,1.7353361865569266
2025-10-10 10:00:00,7.69,1.4151126063100143
2025-10-10 11:00:00,8.35,2.100553840877915
2025-10-10 12:00:00,9.59,3.9258049245541837
2025-10-10 13:00:00,9.25,3.348979766803841
2025-10-10 14:00:00,8.9,2.817270233196159
2025-10-10 15:00:00,8.68,2.513723347050754
2025-10-10 16:00:00,8.31,2.053790000000001
2025-10-10 17:00:00,8.11,1.830354334705075
2025-10-10 18:00:00,8.25,1.9849537037037042
2025-10-10 19:00:00,8.55,2.345046296296297
2025-10-10 20:00:00,8.75,2.6078103566529487
2025-10-10 21:00:00,8.8,2.6764334705075448
2025-10-10 22:00:00,8.76,2.6214400000000007
2025-10-10 23:00:00,8.66,2.487263319615913
2025-10-11 00:00:00,8.42,2.184088998628258
2025-10-11 01:00:00,8.12,1.841121097393689
2025-10-11 02:00:00,7.88,1.5941601097393685
2025-10-11 03:00:00,7.92,1.6336829629629626
2025-10-11 04:00:00,8.01,1.724986296296296
2025-10-11 05:00:00,8.1,1.8196296296296293
2025-10-11 06:00:00,8.04,1.7561599999999995
2025-10-11 07:00:00,7.92,1.6336829629629626
2025-10-11 08:00:00,7.88,1.5941601097393685
2025-10-11 09:00:00,8.02,1.7353361865569266
2025-10-11 10:00:00,8.2,1.9287791495198898
2025-10-11 11:00:00,8.42,2.184088998628258
2025-10-11 12:00:00,8.6,2.4089986282578875
2025-10-11 13:00:00,8.79,2.6626137037037023
2025-10-11 14:00:00,8.86,2.7603574211248283
2025-10-11 15:00:00,8.74,2.594228038408779
2025-10-11 16:00:00,8.46,2.2328029629629644
2025-10-11 17:00:00,8.29,2.0306706310013714
2025-10-11 18:00:00,8.25,1.9849537037037042
2025-10-11 19:00:00,8.31,2.053790000000001
2025-10-11 20:00:00,8.34,2.088797037037036
2025-10-11 21:00:00,8.32,2.0654151989026066
2025-10-11 22:00:00,8.3,2.0422085048010987
2025-10-11 23:00:00,8.31,2.053790000000001
