time,co2_g_per_kwh
2025-10-10 15:00:00,175.89228498317019
2025-10-10 16:00:00,216.8970405735258
2025-10-10 17:00:00,236.81715487777507
2025-10-10 18:00:00,223.03405047610087
2025-10-10 19:00:00,190.93046667675654
2025-10-10 20:00:00,167.50408078422635
2025-10-10 21:00:00,161.3860768832255
2025-10-10 22:00:00,166.28894777025087
2025-10-10 23:00:00,178.25129409794096
2025-10-11 00:00:00,205.2804038876232
2025-10-11 01:00:00,235.8572582419322
2025-10-11 02:00:00,257.8747418709259
2025-10-11 03:00:00,254.35113361973262
2025-10-11 04:00:00,246.21110443523216
2025-10-11 05:00:00,237.7733019221614
2025-10-11 06:00:00,243.43185368202364
2025-10-11 07:00:00,254.35113361973262
2025-10-11 08:00:00,257.8747418709259
2025-10-11 09:00:00,245.2883735150988
2025-10-11 10:00:00,228.04221933246848
2025-10-11 11:00:00,205.2804038876232
2025-10-11 12:00:00,185.2288802222546
2025-10-11 13:00:00,162.61816010515537
2025-10-11 14:00:00,153.90394690655515
2025-10-11 15:00:00,168.7149945905939
2025-10-11 16:00:00,200.9373741547486
2025-10-11 17:00:00,218.95821765770756
2025-10-11 18:00:00,223.03405047610087
2025-10-11 19:00:00,216.8970405735258
2025-10-11 20:00:00,213.776034004094
2025-10-11 21:00:00,215.86061118055548
2025-10-11 22:00:00,217.92957361999234
2025-10-11 23:00:00,216.8970405735258
