"('balancing', 'loss_load')","('balancing', 'overgeneration')","('balancing', 'reward')","('battery', 'charge_amount')","('battery', 'current_charge')","('battery', 'discharge_amount')","('battery', 'reward')","('battery', 'soc')","('load', 'load_current')","('load', 'load_met')","('load', 'reward')","('renewable', 'curtailment')","('renewable', 'renewable_current')","('renewable', 'renewable_used')","('renewable', 'reward')","('balance', 'reward')","('balance', 'shaped_reward')","('balance', 'overall_provided_to_microgrid')","('balance', 'overall_absorbed_from_microgrid')","('balance', 'flex_provided_to_microgrid')","('balance', 'flex_absorbed_from_microgrid')","('balance', 'controllable_provided_to_microgrid')","('balance', 'controllable_absorbed_from_microgrid')","('balance', 'fixed_provided_to_microgrid')","('balance', 'fixed_absorbed_from_microgrid')",time,price_dkk_per_kwh,wind_kw,batt_cmd
0.5758514401598012,0.0,-5.758514401598012,0.0,5.0,4.6000000000000005,-0.0,0.5,-7.2601749496796915,7.2601749496796915,0.0,0.0,2.0843235095198898,2.0843235095198898,0.0,-5.758514401598012,-5.758514401598012,7.2601749496796915,7.2601749496796915,2.660174949679691,0.0,4.6000000000000005,0.0,0.0,7.2601749496796915,2025-10-05 14:45:00,-0.019264086,1.9287791495198896,1.0
5.365393298034825,0.0,-53.65393298034825,0.0,0.0,0.0,-0.0,0.0,-7.449716807554715,7.449716807554715,0.0,0.0,2.0843235095198898,2.0843235095198898,0.0,-53.65393298034825,-53.65393298034825,7.449716807554715,7.449716807554715,7.449716807554715,0.0,0.0,0.0,0.0,7.449716807554715,2025-10-05 15:00:00,-0.017994747,1.9287791495198896,1.0
4.261622348472661,0.0,-42.61622348472662,0.0,0.0,0.0,-0.0,0.0,-6.345945857992551,6.345945857992551,0.0,0.0,2.0843235095198898,2.0843235095198898,0.0,-42.61622348472662,-42.61622348472662,6.345945857992551,6.345945857992551,6.345945857992551,0.0,0.0,0.0,0.0,6.345945857992551,2025-10-05 15:15:00,-0.016053405,1.9287791495198896,1.0
2.7727022012449165,0.0,-27.727022012449165,0.0,0.0,0.0,-0.0,0.0,-4.857025710764806,4.857025710764806,0.0,0.0,2.0843235095198898,2.0843235095198898,0.0,-27.727022012449165,-27.727022012449165,4.857025710764806,4.857025710764806,4.857025710764806,0.0,0.0,0.0,0.0,4.857025710764806,2025-10-05 15:30:00,-0.015157401,1.9287791495198896,1.0
2.6625495774645342,0.0,-26.625495774645344,0.0,0.0,0.0,-0.0,0.0,-4.706887166984424,4.706887166984424,0.0,0.0,2.0443375895198894,2.0443375895198894,0.0,-26.625495774645344,-26.625495774645344,4.706887166984424,4.706887166984424,4.706887166984424,0.0,0.0,0.0,0.0,4.706887166984424,2025-10-05 15:45:00,-0.022549434,1.9287791495198896,1.0
3.425001992729733,0.0,-34.25001992729733,0.0,0.0,0.0,-0.0,0.0,-5.4693395822496225,5.4693395822496225,0.0,0.0,2.0443375895198894,2.0443375895198894,0.0,-34.25001992729733,-34.25001992729733,5.4693395822496225,5.4693395822496225,5.4693395822496225,0.0,0.0,0.0,0.0,5.4693395822496225,2025-10-05 16:00:00,-0.0118720529999999,1.9287791495198896,1.0
2.090563522122964,0.0,-20.905635221229637,0.0,0.0,0.0,-0.0,0.0,-4.134901111642853,4.134901111642853,0.0,0.0,2.0443375895198894,2.0443375895198894,0.0,-20.905635221229637,-20.905635221229637,4.134901111642853,4.134901111642853,4.134901111642853,0.0,0.0,0.0,0.0,4.134901111642853,2025-10-05 16:15:00,-0.007616034,1.9287791495198896,1.0
3.5333187300163598,0.0,-35.3331873001636,0.0,0.0,0.0,-0.0,0.0,-5.577656319536249,5.577656319536249,0.0,0.0,2.0443375895198894,2.0443375895198894,0.0,-35.3331873001636,-35.3331873001636,5.577656319536249,5.577656319536249,5.577656319536249,0.0,0.0,0.0,0.0,5.577656319536249,2025-10-05 16:30:00,-0.00074667,1.9287791495198896,1.0
5.324292086795506,0.0,-53.24292086795506,0.0,0.0,0.0,-0.0,0.0,-7.0736200447104585,7.0736200447104585,0.0,0.0,1.749327957914953,1.749327957914953,0.0,-53.24292086795506,-53.24292086795506,7.0736200447104585,7.0736200447104585,7.0736200447104585,0.0,0.0,0.0,0.0,7.0736200447104585,2025-10-05 16:45:00,-0.000298668,1.613840877914953,1.0
5.244432284846963,0.0,-52.444322848469625,0.0,0.0,0.0,-0.0,0.0,-6.993760242761915,6.993760242761915,0.0,0.0,1.749327957914953,1.749327957914953,0.0,-52.444322848469625,-52.444322848469625,6.993760242761915,6.993760242761915,6.993760242761915,0.0,0.0,0.0,0.0,6.993760242761915,2025-10-05 17:00:00,-0.006794697,1.613840877914953,1.0
5.840790313664388,0.0,-58.40790313664388,0.0,0.0,0.0,-0.0,0.0,-7.590118271579341,7.590118271579341,0.0,0.0,1.749327957914953,1.749327957914953,0.0,-58.40790313664388,-58.40790313664388,7.590118271579341,7.590118271579341,7.590118271579341,0.0,0.0,0.0,0.0,7.590118271579341,2025-10-05 17:15:00,0.000522669,1.613840877914953,1.0
6.204023487099527,0.0,-62.04023487099527,0.0,0.0,0.0,-0.0,0.0,-7.95335144501448,7.95335144501448,0.0,0.0,1.749327957914953,1.749327957914953,0.0,-62.04023487099527,-62.04023487099527,7.95335144501448,7.95335144501448,7.95335144501448,0.0,0.0,0.0,0.0,7.95335144501448,2025-10-05 17:30:00,0.017472078,1.613840877914953,1.0
