time,soc_kwh,gen_kw,base_kw,wind_kw,pv_kw
2025-10-15 02:00:00,3.4583447232191915,0.0,0.03995433789954338,0.0,0.0
2025-10-15 03:00:00,3.4176161771675257,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-15 04:00:00,3.3759609003867173,0.0,0.03995433789954338,0.0,0.0
2025-10-15 05:00:00,3.3343056236059088,0.0,0.03995433789954338,0.0,0.0
2025-10-15 06:00:00,3.2926503468251003,0.0,0.03995433789954338,0.0,0.0
2025-10-15 07:00:00,3.250999360464334,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-15 08:00:00,3.209348374103568,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-15 09:00:00,3.1852666578161295,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-15 10:00:00,3.224636273855452,0.081,0.03995433789954338,0.081,0.0
2025-10-15 11:00:00,3.315654824448311,0.1348477366255144,0.03995433789954338,0.1348477366255144,0.0
2025-10-15 12:00:00,3.477268804501621,0.2084485596707819,0.03995433789954338,0.2084485596707819,0.0
2025-10-15 13:00:00,3.638882784554931,0.2084485596707819,0.03995433789954338,0.2084485596707819,0.0
2025-10-15 14:00:00,3.72990133514779,0.1348477366255144,0.03995433789954338,0.1348477366255144,0.0
2025-10-15 15:00:00,3.7692709511871123,0.081,0.03995433789954338,0.081,0.0
2025-10-15 16:00:00,3.7673492544182907,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-15 17:00:00,3.765427557649469,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-15 18:00:00,3.7237722808686606,0.0,0.03995433789954338,0.0,0.0
2025-10-15 19:00:00,3.682117004087852,0.0,0.03995433789954338,0.0,0.0
2025-10-15 20:00:00,3.6404617273070436,0.0,0.03995433789954338,0.0,0.0
2025-10-15 21:00:00,3.598806450526235,0.0,0.03995433789954338,0.0,0.0
2025-10-15 22:00:00,3.5571511737454267,0.0,0.03995433789954338,0.0,0.0
2025-10-15 23:00:00,3.515495896964618,0.0,0.03995433789954338,0.0,0.0
2025-10-16 00:00:00,3.4738406201838097,0.0,0.03995433789954338,0.0,0.0
2025-10-16 01:00:00,3.432185343403001,0.0,0.03995433789954338,0.0,0.0
2025-10-16 02:00:00,3.3905300666221927,0.0,0.03995433789954338,0.0,0.0
2025-10-16 03:00:00,3.348874789841384,0.0,0.03995433789954338,0.0,0.0
2025-10-16 04:00:00,3.3072195130605757,0.0,0.03995433789954338,0.0,0.0
2025-10-16 05:00:00,3.265564236279767,0.0,0.03995433789954338,0.0,0.0
2025-10-16 06:00:00,3.2239089594989587,0.0,0.03995433789954338,0.0,0.0
2025-10-16 07:00:00,3.1822536827181502,0.0,0.03995433789954338,0.0,0.0
2025-10-16 08:00:00,3.1405984059373417,0.0,0.03995433789954338,0.0,0.0
2025-10-16 09:00:00,3.0989474195765756,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
